"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-17","2011-04-19",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6  HDI","1","Privado","Física","VILLA DE MAYO","BUENOS AIRES","Femenino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-23","1990-08-02",21059,"ROSARIO Nº 16","Santa Fe","Nacional","1990","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1970","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-15","1998-08-12",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","1998","","MICROOMNIBUS","29","MERCEDES BENZ","53","BMO390 VERSION 1420","2","Público","Física","AVELLANEDA","BUENOS AIRES","Femenino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-23","1996-02-09",21070,"ROSARIO Nº 18","Santa Fe","Nacional","1996","","BERLINA 4 PTAS","37","RENAULT","BA","RENAULT 19 RL TRI/AAC/SD","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1971","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-22","1999-12-23",4078,"CORDOBA Nº 24","Córdoba","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","CA","CLIO RL 3PTAS.","1","Privado","Física","CORDOBA","CORDOBA","Femenino","1963","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-21","1994-10-25",21049,"ROSARIO Nº 11","Santa Fe","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","28","RENAULT 19 RN BIC","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1989","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-18","2004-11-04",21045,"ROSARIO Nº 10","Santa Fe","Nacional","2004","","FURGON 600","34","PEUGEOT","DR","PARTNER FURGON 1.4 N CONFORT PARA G","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1954","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-07","1996-03-13",4006,"CORDOBA Nº 02","Córdoba","Importado","1996","","UTILITARIO 4X4","047","FORD","099","EXPLORER XLT","1","Privado","Física","CORDOBA","CORDOBA","Masculino","1975","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-01","2004-06-28",13010,"MENDOZA Nº 04","Mendoza","Nacional","2004","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","VILLA NUEVA","MENDOZA","No identificado","1987","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-08","2008-01-22",1197,"SAN ISIDRO Nº 06","Buenos Aires","Protocolo 21","2008","","PICK-UP CABINA Y MED","044","FIAT","816","STRADA ADVENTURE 1.8MPI 8V","1","Privado","Física","V. ADELINA","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-10","1991-02-08",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","1991","","CHASIS SEMIACOPLADO","09","SALTO","18","SA12,50","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Femenino","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-16","2001-01-04",13015,"MENDOZA Nº 09","Mendoza","Nacional","2001","","RURAL","08","CHEVROLET","85","CORSA WAGON WIND 1.7D","1","Privado","Física","VILLA HIPODROMO","MENDOZA","Masculino","1948","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-23","2005-06-21",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","2005","","FOURGON COURT TYPE 6","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","LONGCHAMPS","BUENOS AIRES","Masculino","1975","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-10","2001-11-14",21058,"ROSARIO Nº 15","Santa Fe","Nacional","2001","","RURAL 3 PTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1982","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-24","2007-01-11",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Femenino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-02-03","2008-11-10",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2008","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
